Q8TBF4
P9WFZ1
P51094
Q06102
Q5QF96
Q9H0E2
P60880
P60881
Q9H6Q3
P40225
P13693
P08063
Q9NZL3
O94687
P17122
P87108
P25372
O25503
P38751
Q9P0L0
Q9WUD2
P11875
P0A836
P31109
Q9HBM1
Q8N5H7
O00241
P40554
P27859
P38282
P29083
Q8VYF7
P77499
P29084
Q4J894
Q00403
P08842
P23003
P52478
P02767
P02766
Q8K245
Q9P7Y9
Q5U3W1
P00942
P52275
Q08188
Q96T68
Q15363
O00401
Q9VFX1
Q9SI37
P29401
Q8CF89
P28026
O43915
P35247
Q3IWB0
Q05127
P32914
P32917
P32916
P32911
Q0D840
P08153
Q9XWJ1
P9WFF5
Q9JKE2
Q9T0G7
P27731
Q9H3M7
P32861
Q9Y6E0
P32867
P21691
P43321
P52655
P52657
Q04500
O75897
P03700
P03704
P03707
P52490
P52491
P32591
P0CG50
Q9P1W8
Q8NFQ8
Q02767
Q8WVN8
O75940
Q15185
Q8WVK7
Q09761
Q9UHF0
Q14587
P49459
Q9NRF2
O43791
P76256
P9WHR9
P9WMU9
O08623
Q7Z7C8
Q9SSD1
P07395
Q9LT31
Q16851
P06869
P0AGC3
P9WG43
O75365
P11207
Q8W4J8
P9WG49
P32132
Q04177
P40763
O14788
Q9S7N2
Q02724
P48788
P97443
P48787
Q13342
Q9D666
Q9VI58
P21980
P63146
Q9BSW7
P15692
Q96RU8
Q9Y2H1
O74700
P55144
Q56019
O95150
Q9SKP6
P0A9K9
P69348
O58966
Q9BQ50
Q9Y5A9
P33731
Q63537
O95630
O35305
P38960
Q96MU7
P36124
Q99JV5
Q96B97
P31779
Q12933
O75800
Q9BYN0
P07650
Q9NXA8
P39968
P06701
P06700
P24203
Q3J1R2
P25344
P23968
P9WLS3
P38765
P30518
P69726
O58389
Q9UHD9
Q3E7B6
Q9BR01
Q9Y296
P16525
P49955
Q15831
P0ADU5
P0ADU2
Q9Y2Z0
Q07352
Q9Y2Z4
Q9I2Y2
Q04338
P29055
P29056
P29509
O54259
Q5VUG0
Q8VZ17
P09493
Q9NP79
Q08199
P77689
P03973
P31483
P77444
P07477
P39706
Q01105
P9WMF5
P01135
Q9UGM6
P01137
Q9ERE3
P70406
O60603
O60602
Q9JKD9
Q9JKD8
O00506
Q08282
Q6PDM2
Q96S55
Q9BXP5
P32851
P43332
O53509
P46655
P61965
P45470
P0A698
Q92609
P53738
P28908
O75888
O75886
Q6PI26
Q04048
Q05066
P34707
Q8JZL3
Q99986
P52488
Q0PF16
P43534
P00448
Q8R5A0
P00445
P00442
Q9H171
P00441
O43255
Q8WXH5
O94972
Q02260
Q9NRG4
Q9AQS0
Q07914
P02976
Q14134
P0A877
P0A870
Q10108
P41977
P0A873
P52735
P0A879
Q62384
P61957
P61956
Q68D10
O94804
P27302
O95407
P24215
P26651
Q16514
B0SR19
P32140
P9WG73
O28029
O28025
P19221
Q9Z270
Q9BWF2
P97454
Q99523
Q96DA0
P31948
Q63635
P60604
P60605
Q96MF2
Q7KN62
P40336
Q9QUN7
P36629
P03129
P0AFZ3
P40338
P40848
Q9NYZ4
Q58952
P03169
O94768
O15537
O15533
Q8A1G2
Q8A1G3
P36136
Q86SZ2
Q9P6M0
P09936
Q6L4L4
P9WFX9
P33891
P9WFX5
P9WFX7
Q9BX59
P9WQ73
P40200
P49891
P03126
P07649
O75436
P75682
Q13586
P13342
Q9BUD6
P0AG80
P09099
Q9S7A9
Q05128
P31161
Q60932
P53937
P48436
Q9Y285
P48432
P48431
Q9Y286
Q5FBB7
P32912
P0C2E9
P38555
Q08AE8
O33434
P83949
Q15208
P15374
Q07654
P70326
P13010
Q9GZV5
O82175
P78362
P23025
P09158
Q8ZQC8
P09486
Q9UL52
P60174
Q495M9
P9WFV1
P9WFV9
Q9NQH7
P31493
Q3E7C1
Q9Y606
P09733
P53038
Q8NBK3
P9WME7
Q9S850
Q9UIB8
Q9NVV9
P9WFD7
P14359
P0A8I5
P0A8I3
P35710
P0A8I1
P00523
O14214
O73557
O95292
O43914
Q9HBA0
P32842
P01033
O15344
P28159
P08047
Q8BHJ5
Q9Y4E8
O75554
Q13033
P23202
Q9BZK7
O60701
O60704
P15533
P76010
Q62264
O75563
P68398
P35625
P21549
P32939
P42765
P42943
Q15833
P98066
P42949
Q9UHD2
P41896
P42768
P41895
Q87TN7
P9WM67
P83876
Q13105
Q13107
P61964
P0A862
P61960
P61961
Q04673
P0AAB2
P17480
Q9U299
Q94KI8
P53299
Q5W0Z9
Q63739
P04608
O48652
Q70DK5
P46683
O75347
